Número da porta;Protocolo;Descrição
0;TCP e UDP;Reservada
1;TCP e UDP;TCPMUX (Serviço de porta TCP multiplexador)
5;TCP e UDP;RJE (Remote Job Entry - Entrada de trabalho remoto)
7;TCP e UDP;ECHO protocol (Serviço Echo)
9;TCP e UDP;DISCARD protocol (Serviço zero para teste de conexão)
11;TCP e UDP;SYSTAT protocol (Serviço de Estado do Sistema para listar as portas conectadas)
13;TCP e UDP;DAYTIME protocol (Envia data e hora para a máquina requerente)
17;TCP e UDP;QOTD protocol (Envia a citação do dia para a máquina conectada)
18;TCP e UDP;Message Send Protocol (Protocolo de envio de mensagem)
19;TCP e UDP;CHARGEN protocol (Character Generator Protocol - Protocolo de geração de caracter)
20;TCP;FTP (File Transfer Protocol - Protocolo de transferência de arquivo) - Porta de dados do FTP
21;TCP;FTP (File Transfer Protocol - Protocolo de transferência de arquivo) - Porta do Protocolo de Transferência de Arquivos
22;TCP e UDP;SSH (Secure Shell - Shell seguro) - Usada para logins seguros, transferência de arquivos e redirecionamento de porta
23;TCP e UDP;Telnet protocol - Comunicação de texto sem encriptação
25;TCP e UDP;SMTP (Simple Mail Transfer Protocol - Protocolo simples de envio de e-mail) - usada para roteamento de e-mail entre servidores (Atualmente é utilizada a porta 587,conforme Comitê Gestor da Internet no Brasil CGI.br)
26;TCP e UDP;RSFTP - protocolo similar ao FTP
35;TCP e UDP;QMS Magicolor 2 printer
37;TCP e UDP;TIME protocol (Protocolo de Tempo)
38;TCP e UDP;Route Access Protocol (Protocolo de Acesso ao roteador)
39;TCP e UDP;Resource Location Protocol (Protocolo de localização de recursos)
41;TCP e UDP;Graphics (gráficos)
42;TCP e UDP;Host Name Server (Servidor do Nome do Host)
42;TCP e UDP;WINS Não-oficial;Conflito
43;TCP;WHOIS (protocolo de consulta de informações de contato e DNSprotocol)
49;TCP e UDP;TACACS Login Host protocol(Protocolo de Login no Host)
53;TCP e UDP;DNS (Domain Name System - Sistema de nome de domínio)
57;TCP;MTP, Mail Transfer Protocol (Protocolo de transferência de e-mail)
67;UDP;BOOTP (BootStrap Protocol) server; também utilizada por DHCP (Protocolo de configuração dinâmica do Host)
68;UDP;BOOTP client; também utilizada por DHCP
69;UDP;TFTP(Trivial File Transfer Protocol) (Protocolo de transferência de arquivo trivial)
70;TCP;Gopher (Protocolo para indexar repositórios)
79;TCP;Finger protocol (Serviço finger para informações de contato do usuário)
80;TCP;HTTP (HyperText Transfer Protocol - Procolo de transferência de HiperTexto) - usada para transferir páginas WWW
81;TCP;Skype protocol
81;TCP;Torpark - Onion routing ORport
82;UDP;Torpark - Control Port
88;TCP;Kerberos (Protocolo de comunicações individuais seguras e identificadas) - authenticating agent
101;TCP;HOSTNAME (Serviços de nomes para máquinas SRI-NIC)
102;TCP;ISO-TSAP protocol (Aplicações de rede do Ambiente de Desenvolvimento ISO (ISODE)
107;TCP;Remote Telnet Service (Serviço remoto Telnet)
109;TCP;POP (Post Office Protocol): Protocolo de Correio Eletrônico, versão 2
110;TCP;POP3 (Post Office Protocol version 3): Protocolo de Correio Eletrônico, versão 3 - usada para recebimento de e-mail
111;TCP e UDP;sun protocol (Protocolo da Chamada de Procedimento Remoto (RPC) para execução de comandos remotos, usado pelo Sistema de Arquivo de Rede (NFS)
113;TCP;ident - antigo identificador de servidores, ainda usada em servidores IRC para identificar seus usuários
115;TCP;SFTP, (Simple File Transfer Protocol) (Protocolo de simples transferência de arquivo)
117;TCP;UUCP-PATH (Serviços da Localidade do Protocolo de Cópia Unix-para-Unix)
118;TCP e UDP;SQL Services
119;TCP;NNTP (Network News Transfer Protocol) (Protocolo de transferência de notícias na rede) - usada para recebimento de mensagens de newsgroups
123;UDP;NTP (Network Time Protocol) (Protocolo de tempo na rede) - usada para sincronização de horário
135;TCP e UDP;EPMAP (End Point Mapper) / Microsoft RPC Locator Service (Microsoft RPC Serviço de localização)
137;TCP e UDP;NetBIOS NetBIOS Name Service
138;TCP e UDP;NetBIOS NetBIOS Datagram Service (Serviço de datagrama NetBios)
139;TCP e UDP;NetBIOS NetBIOS Session Service (Serviço de sessão NetBios)
143;TCP e UDP;IMAP4 (Internet Message Access Protocol 4) (Protocolo de Acesso a mensagens na Internet) - usada para recebimento de e-mail
152;TCP e UDP;BFTP, Background File Transfer Program (Protocolo de transferência de arquivo em Background(fundo)
153;TCP e UDP;SGMP, Simple Gateway Monitoring Protocol (Protocolo de simples monitoramento do gateway)
156;TCP e UDP;SQL Service (Serviço SQL)
158;TCP e UDP;DMSP, Distributed Mail Service Protocol (Protocolo de serviço de e-mail distribuído)
161;TCP e UDP;SNMP (Simple Network Management Protocol) (Protocolo simples de gerenciamento de rede)
162;TCP e UDP;SNMPTRAP
170;TCP;Print-srv (Print Server)
179;TCP;BGP (Border Gateway Protocol)(Protocolo de Gateway de Borda)
194;TCP;IRC (Internet Relay Chat)
201;TCP e UDP;AppleTalk Routing Maintenance
209;TCP e UDP;The Quick Mail Transfer Protocol (Protocolo de rápida transferência de mail)
213;TCP e UDP;IPX (Internetwork Packet Exchange) (Troca de pacote na área de trabalho da internet)
218;TCP e UDP;MPP, Message Posting Protocol (Protocolo de postagem de mensagem)
220;TCP e UDP;IMAP, Interactive Mail Access Protocol, version 3 (Protocolo de acesso interativo ao mail)
259;TCP e UDP;ESRO, Efficient Short Remote Operations (Operações remotas de curta eficiência)
264;TCP e UDP;BGMP, Border Gateway Multicast Protocol
311;TCP;Apple Server-Admin-Tool, Workgroup-Manager-Tool, (Ferramenta de gerenciamento de workgroup)
318;TCP e UDP;TSP, Time Stamp Protocol
323;TCP e UDP;IMMP, Internet Message Mapping Protocol (Protocolo de mapeamento de mensagem da internet)
383;TCP e UDP;HP OpenView HTTPs Operations Agent
366;TCP e UDP;SMTP, Simple Mail Transfer Protocol (Protocolo de simples transferência de mail). ODMR, On-Demand Mail Relay
369;TCP e UDP;Rpc2portmap
371;TCP e UDP;ClearCase albd
384;TCP e UDP;A Remote Network Server System (Sistema servidor de rede remota)
387;TCP e UDP;AURP, AppleTalk Update-based Routing Protocol
389;TCP e UDP;LDAP (Lightweight Directory Access Protocol)(Protocolo de acesso a diretório lightweight)
401;TCP e UDP;UPS Uninterruptible Power Supply (Suprimento de potência Ininterruptível)
411;TCP;Direct Connect (Rede de conexão direta, Conexão direta) Hub port
412;TCP;Direct Connect Client-To-Client port
427;TCP e UDP;SLP (Service Location Protocol) (Protocolo de serviço de localização)
443;TCP;HTTPS - HTTP Protocol over TLS/SSL (transmissão segura)(Camada de transporte seguro)
444;TCP e UDP;SNPP, Simple Network Paging Protocol (Protocolo simples de paging de rede)
445;TCP;Microsoft-DS (Active Directory, Windows shares, Sasser (vírus), Agobot, Zobotworm
445;UDP;Microsoft-DS SMB (Bloco de mensagem de servidor) file sharing
464;TCP e UDP;Kerberos Change/Set password
465;TCP;SMTP over SSL - Conflito registrado com protocolo Cisco Conflito
500;TCP e UDP;ISAKMP, IKE-Internet Key Exchange
502;TCP e UDP;Modbus, Protocol
512;TCP;exec, Remote Process Execution (Processo de execução remota)
512;UDP;comsat, together with biff: notifica usuários acerca de novos e-mail's não lidos
513;TCP;Login
513;UDP;Who
514;TCP;rsh protocol(protocolo de shell remoto) - usado para executar linha de comando não interativa em sistema remoto e visualizar a tela de retorno
514;UDP;syslog protocol - usado para log do sistema
515;TCP;Line Printer Daemon protocol - usada em servidores de impressão LPD
517;UDP;Talk
518;UDP;NTalk
520;TCP;efs
520;UDP;Routing - RIP (Protocolo de informação do roteador)
513;UDP;Router
524;TCP e UDP;NetWare Core Protocol (NCP) (Protocolo de core do NetWare)
525;UDP;Timed, Timeserver
530;TCP e UDP;RPC (Procedimento de chamada remota)
531;TCP e UDP;AOL Instant Messenger, IRC Mensageiro instantâneo AOL
532;TCP;netnews
533;UDP;netwall, For Emergency Broadcasts
540;TCP;UUCP (Unix-to-Unix Copy Protocol)
542;TCP e UDP;commerce (Commerce Applications)
543;TCP;klogin, Kerberos login
544;TCP;kshell, Kerberos Remote shell
546;TCP e UDP;DHCPv6 client
547;TCP e UDP;DHCPv6 server
548;TCP;AFP (Apple Filing Protocol) (Protocolo de arquivamento da Apple)
550;UDP;new-rwho, new-who
554;TCP e UDP;RTSP (Real Time Streaming Protocol) (Protocolo de streaming em tempo real)
556;TCP;Remotefs, rfs, rfs_server
560;UDP;rmonitor, Remote Monitor (Monitor remoto)
561;UDP;monitor
563;TCP e UDP;NNTP protocol over TLS/SSL (NNTPS)
587;TCP;email message submission (SMTP) (RFC 2476)
591;TCP;FileMaker 6.0 Web Sharing (alternativa ao HTTP)
593;TCP e UDP;HTTP RPC Ep Map
604;TCP;TUNNEL
631;TCP e UDP;IPP, (Internet Printing Protocol) (Protocolo de impressão na internet)
636;TCP e UDP;LDAP sobre SSL
639;TCP e UDP;MSDP, Multicast Source Discovery Protocol (Protocolo de descoberta de fonte multicast)
646;TCP;LDP, Label Distribution Protocol (Protocolo de distribuição de rótulo)
647;TCP;DHCP Failover Protocol
648;TCP;RRP, Registry Registrar Protocol (Protocolo de registro)
652;TCP;DTCP, Dynamic Tunnel Configuration Protocol (Protocolo de configuração dinâmica de túnel)
654;TCP;AODV, Ad hoc On-Demand Distance Vector
665;TCP;sun-dr, Remote Dynamic Reconfiguration (Reconfiguração remota dinâmica)
666;UDP;Doom, First online first-person shooter
674;TCP;ACAP, Application Configuration Access Protocol (Protocolo de acesso a configuração da aplicação)
691;TCP;MS Exchange Routing
692;TCP;Hyperwave-ISP
694;UDP;Linux-HA High availability Heartbeat port
695;TCP;IEEE-MMS-SSL
698;TCP;OLSR, Optimized Link State Routing
699;TCP;Access Network
700;TCP;EPP, Extensible Provisioning Protocol (Protocolo de provisionamento extensível)
701;TCP;LMP, Link Management Protocol (Protoloco de gerenciamento de link)
702;TCP;IRIS over BEEP
706;TCP;SILC, Secure Internet Live Conferencing (Conferência ao vivo da seguraça da internet)
711;TCP;TDP, Tag Distribution Protocol (Protocolo de distribuição de marcadores)
712;TCP;TBRPF, Topology Broadcast based on Reverse-Path Forwarding
720;TCP;SMQP, Simple Message Queue Protocol (Protocolo de simples mensagem em fila)
749;TCP e UDP; kerberos-adm, Kerberos administration
750;UDP;Kerberos version IV
782;TCP;Conserver serial-console management server
829;TCP;CMP (Certificate Management Protocol)
860;TCP;iSCSI
873;TCP;rsync File synchronisation protocol
901;TCP;Samba Web Administration Tool (SWAT)
902;TCP;VMware Server Console
904;TCP;VMware Server Alternate (se a porta 902 estiver em uso - ex: SUSE linux)
911;TCP;Network Console on Acid (NCA) - local tty redirection over OpenSSH
981;TCP;SofaWare Technologies Remote HTTPS management for firewall devices running embedded Checkpoint Firewall-1 software
989;TCP e UDP;FTP Protocol (data) over TLS/SSL
990;TCP e UDP;FTP Protocol (control) over TLS/SSL
991;TCP e UDP;NAS (Netnews Admin System)
992;TCP e UDP;Telnet protocol over TLS/SSL
993;TCP;IMAP4 sobre SSL (transmissão segura)
995;TCP;POP3 sobre SSL (transmissão segura)
